Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Plate2_F05_N1B_10471048_DMT79_R1	Plate2_F05_N1B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2644.0	663.6 kbp	0.0	251.0	58.0	42.322239031770046	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	warn	pass
Plate2_F05_N1B_10471048_DMT79_R2	Plate2_F05_N1B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2644.0	663.6 kbp	0.0	251.0	56.0	32.526475037821484	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate2_F06_N2B_10471048_DMT79_R1	Plate2_F06_N2B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3618.0	908.1 kbp	0.0	251.0	55.0	29.076838032061914	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
Plate2_F06_N2B_10471048_DMT79_R2	Plate2_F06_N2B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3618.0	908.1 kbp	0.0	251.0	53.0	20.342730790491984	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
Plate2_F07_N3B_10471048_DMT79_R1	Plate2_F07_N3B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3501.0	878.7 kbp	0.0	251.0	55.0	27.249357326478147	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	fail	pass
Plate2_F07_N3B_10471048_DMT79_R2	Plate2_F07_N3B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3501.0	878.7 kbp	0.0	251.0	53.0	18.109111682376465	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
Plate2_F08_N4B_10471048_DMT79_R1	Plate2_F08_N4B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2460.0	617.4 kbp	0.0	251.0	57.0	40.40650406504065	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	fail	pass
Plate2_F08_N4B_10471048_DMT79_R2	Plate2_F08_N4B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2460.0	617.4 kbp	0.0	251.0	55.0	30.325203252032516	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
Plate2_F09_N5B_10471048_DMT79_R1	Plate2_F09_N5B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2812.0	705.8 kbp	0.0	251.0	57.0	37.517780938833575	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
Plate2_F09_N5B_10471048_DMT79_R2	Plate2_F09_N5B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2812.0	705.8 kbp	0.0	251.0	55.0	27.453769559032715	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
