Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Plate2_F05_N1B_10471048_DMT79_R1	57.677760968229954	58.0	251.0	251	45.45454545454545	2644.0
Plate2_F05_N1B_10471048_DMT79_R2	67.47352496217852	56.0	251.0	251	27.27272727272727	2644.0
Plate2_F06_N2B_10471048_DMT79_R1	70.92316196793809	55.0	251.0	251	63.63636363636363	3618.0
Plate2_F06_N2B_10471048_DMT79_R2	79.65726920950802	53.0	251.0	251	36.36363636363637	3618.0
Plate2_F07_N3B_10471048_DMT79_R1	72.75064267352185	55.0	251.0	251	54.54545454545454	3501.0
Plate2_F07_N3B_10471048_DMT79_R2	81.89088831762353	53.0	251.0	251	36.36363636363637	3501.0
Plate2_F08_N4B_10471048_DMT79_R1	59.59349593495935	57.0	251.0	251	54.54545454545454	2460.0
Plate2_F08_N4B_10471048_DMT79_R2	69.67479674796749	55.0	251.0	251	36.36363636363637	2460.0
Plate2_F09_N5B_10471048_DMT79_R1	62.482219061166425	57.0	251.0	251	63.63636363636363	2812.0
Plate2_F09_N5B_10471048_DMT79_R2	72.54623044096729	55.0	251.0	251	27.27272727272727	2812.0
Plate2_F10_P1B_10471048_DMT79_R1	60.99524332235639	57.0	251.0	251	63.63636363636363	2733.0
Plate2_F10_P1B_10471048_DMT79_R2	70.8379070618368	55.0	251.0	251	27.27272727272727	2733.0
Plate2_F11_P2B_10471048_DMT79_R1	76.74961119751165	56.0	251.0	251	63.63636363636363	2572.0
Plate2_F11_P2B_10471048_DMT79_R2	81.57076205287714	54.0	251.0	251	27.27272727272727	2572.0
Plate2_F12_P4B_10471048_DMT79_R1	62.40335051546392	57.0	251.0	251	63.63636363636363	3104.0
Plate2_F12_P4B_10471048_DMT79_R2	72.0360824742268	55.0	251.0	251	36.36363636363637	3104.0
Plate2_G01_P5B_10471048_DMT79_R1	65.94911937377691	56.0	251.0	251	54.54545454545454	4088.0
Plate2_G01_P5B_10471048_DMT79_R2	74.75538160469668	54.0	251.0	251	27.27272727272727	4088.0
Plate2_G02_L1B_10471048_DMT79_R1	68.62690707350902	56.0	251.0	251	63.63636363636363	3605.0
Plate2_G02_L1B_10471048_DMT79_R2	75.33980582524272	54.0	251.0	251	36.36363636363637	3605.0
Plate2_G03_L2B_10471048_DMT79_R1	75.0580945003873	56.0	251.0	251	63.63636363636363	3873.0
Plate2_G03_L2B_10471048_DMT79_R2	82.13271365866254	54.0	251.0	251	27.27272727272727	3873.0
Plate2_G04_L3B_10471048_DMT79_R1	84.47509936871639	54.0	251.0	251	63.63636363636363	4277.0
Plate2_G04_L3B_10471048_DMT79_R2	88.49660977320552	52.0	251.0	251	36.36363636363637	4277.0
Plate2_G05_L4B_10471048_DMT79_R1	67.04204204204204	57.0	251.0	251	63.63636363636363	3996.0
Plate2_G05_L4B_10471048_DMT79_R2	74.92492492492492	55.0	251.0	251	27.27272727272727	3996.0
Plate2_G06_L5B_10471048_DMT79_R1	77.56497948016415	55.0	251.0	251	63.63636363636363	3655.0
Plate2_G06_L5B_10471048_DMT79_R2	81.42270861833106	53.0	251.0	251	36.36363636363637	3655.0
Plate2_G07_V1B_10471048_DMT79_R1	68.24868165417708	57.0	251.0	251	54.54545454545454	3603.0
Plate2_G07_V1B_10471048_DMT79_R2	75.29836247571468	55.0	251.0	251	27.27272727272727	3603.0
Plate2_G08_V2B_10471048_DMT79_R1	64.5985401459854	57.0	251.0	251	63.63636363636363	3014.0
Plate2_G08_V2B_10471048_DMT79_R2	71.06834771068347	55.0	251.0	251	36.36363636363637	3014.0
Plate2_G09_V3B_10471048_DMT79_R1	63.42494714587738	57.0	251.0	251	54.54545454545454	2838.0
Plate2_G09_V3B_10471048_DMT79_R2	71.98731501057082	55.0	251.0	251	27.27272727272727	2838.0
Plate2_G10_V4B_10471048_DMT79_R1	66.2450815064643	57.0	251.0	251	54.54545454545454	3558.0
Plate2_G10_V4B_10471048_DMT79_R2	75.51995503091624	55.0	251.0	251	27.27272727272727	3558.0
Plate2_G11_V5B_10471048_DMT79_R1	73.69709688702343	56.0	251.0	251	54.54545454545454	2859.0
Plate2_G11_V5B_10471048_DMT79_R2	79.39839104582022	54.0	251.0	251	36.36363636363637	2859.0
Plate2_G12_G36B_10471048_DMT79_R1	65.26008492569002	57.0	251.0	251	63.63636363636363	3768.0
Plate2_G12_G36B_10471048_DMT79_R2	74.36305732484077	55.0	251.0	251	36.36363636363637	3768.0
Plate2_H01_G37B_10471048_DMT79_R1	73.37117472852913	55.0	251.0	251	63.63636363636363	4052.0
Plate2_H01_G37B_10471048_DMT79_R2	80.45409674234946	53.0	251.0	251	36.36363636363637	4052.0
Plate2_H02_G38B_10471048_DMT79_R1	75.08062151861624	54.0	251.0	251	63.63636363636363	3411.0
Plate2_H02_G38B_10471048_DMT79_R2	77.95367927294049	54.0	251.0	251	36.36363636363637	3411.0
