Sample,Rootstock,SeqSample,TreeNumber,YearSampled,SequencingRun
B1_2022,Bud 9,B1,8,2022,1
B2_2022,,B2,83,2022,1
B3_2022,,B3,131,2022,1
B4_2022,,B4,170,2022,1
B5_2022,,B5,221,2022,1
B6_2022,Bud10,B6,23,2022,1
B7_2022,,B7,80,2022,1
B8_2022,,B8,125,2022,1
B9_2022,,B9,179,2022,1
B10_2022,,B10,185,2022,1
G1_2022,G11,G1,32,2022,1
G2_2022,,G2,59,2022,1
G3_2022,,G3,101,2022,1
G4_2022,,G4,158,2022,1
G5_2022,,G5,218,2022,1
G6_2022,G41,G6,2,2022,1
G7_2022,,G7,86,2022,1
G8_2022,,G8,122,2022,1
G9_2022,,G9,161,2022,1
G10_2022,,G10,212,2022,1
G11_2022,G202,G11,5,2022,1
G12_2022,,G12,56,2022,1
G13_2022,,G13,119,2022,1
G14_2022,,G14,167,2022,1
G15_2022,,G15,182,2022,1
G16_2022,G213,G16,38,2022,1
G17_2022,,G17,77,2022,1
G18_2022,,G18,110,2022,1
G19_2022,,G19,143,2022,1
G20_2022,,G20,209,2022,1
G21_2022,G890,G21,20,2022,1
G22_2022,,G22,89,2022,1
G23_2022,,G23,116,2022,1
G24_2022,,G24,164,2022,1
G25_2022,,G25,203,2022,1
G26_2022,G935,G26,17,2022,1
G27_2022,,G27,68,2022,1
G28_2022,,G28,134,2022,1
G29_2022,,G29,173,2022,1
G30_2022,,G30,224,2022,1
G31_2022,G969,G31,41,2022,1
G32_2022,,G32,62,2022,1
G33_2022,,G33,113,2022,1
G34_2022,,G34,146,2022,1
G35_2022,,G35,194,2022,1
M1_2022,M9337,M1,11,2022,1
M2_2022,,M2,74,2022,1
M3_2022,,M3,104,2022,1
M4_2022,,M4,176,2022,1
M5_2022,,M5,215,2022,1
V1_2022,V1,V1,35,2022,1
V2_2022,,V2,53,2022,1
V3_2022,,V3,92,2022,1
V4_2022,,V4,140,2022,1
V5_2022,,V5,188,2022,1
S1_2022,Soil,S1,8s,2022,1
S2_2022,,S2,68s,2022,1
S3_2022,,S3,113s,2022,1
S4_2022,,S4,218s,2022,1
