Sample,Rootstock,SeqSample,TreeNumber,YearSampled,SequencingRun,ARD
B1_2022,Bud9,B1,8,2022,1,susceptible
B2_2022,Bud9,B2,83,2022,1,susceptible
B3_2022,Bud9,B3,131,2022,1,susceptible
B4_2022,Bud9,B4,170,2022,1,susceptible
B5_2022,Bud9,B5,221,2022,1,susceptible
B6_2022,Bud10,B6,23,2022,1,susceptible
B7_2022,Bud10,B7,80,2022,1,susceptible
B8_2022,Bud10,B8,125,2022,1,susceptible
B9_2022,Bud10,B9,179,2022,1,susceptible
B10_2022,Bud10,B10,185,2022,1,susceptible
G1_2022,G11,G1,32,2022,1,partial
G2_2022,G11,G2,59,2022,1,partial
G3_2022,G11,G3,101,2022,1,partial
G4_2022,G11,G4,158,2022,1,partial
G5_2022,G11,G5,218,2022,1,partial
G6_2022,G41,G6,2,2022,1,partial
G7_2022,G41,G7,86,2022,1,partial
G8_2022,G41,G8,122,2022,1,partial
G9_2022,G41,G9,161,2022,1,partial
G10_2022,G41,G10,212,2022,1,partial
G11_2022,G202,G11,5,2022,1,resistant
G12_2022,G202,G12,56,2022,1,resistant
G13_2022,G202,G13,119,2022,1,resistant
G14_2022,G202,G14,167,2022,1,resistant
G15_2022,G202,G15,182,2022,1,resistant
G16_2022,G213,G16,38,2022,1,resistant
G17_2022,G213,G17,77,2022,1,resistant
G18_2022,G213,G18,110,2022,1,resistant
G19_2022,G213,G19,143,2022,1,resistant
G20_2022,G213,G20,209,2022,1,resistant
G21_2022,G890,G21,20,2022,1,resistant
G22_2022,G890,G22,89,2022,1,resistant
G23_2022,G890,G23,116,2022,1,resistant
G24_2022,G890,G24,164,2022,1,resistant
G25_2022,G890,G25,203,2022,1,resistant
G26_2022,G935,G26,17,2022,1,resistant
G27_2022,G935,G27,68,2022,1,resistant
G28_2022,G935,G28,134,2022,1,resistant
G29_2022,G935,G29,173,2022,1,resistant
G30_2022,G935,G30,224,2022,1,resistant
G31_2022,G969,G31,41,2022,1,resistant
G32_2022,G969,G32,62,2022,1,resistant
G33_2022,G969,G33,113,2022,1,resistant
G34_2022,G969,G34,146,2022,1,resistant
G35_2022,G969,G35,194,2022,1,resistant
M1_2022,M9337,M1,11,2022,1,susceptible
M2_2022,M9337,M2,74,2022,1,susceptible
M3_2022,M9337,M3,104,2022,1,susceptible
M4_2022,M9337,M4,176,2022,1,susceptible
M5_2022,M9337,M5,215,2022,1,susceptible
V1_2022,V1,V1,35,2022,1,unknown
V2_2022,V1,V2,53,2022,1,unknown
V3_2022,V1,V3,92,2022,1,unknown
V4_2022,V1,V4,140,2022,1,unknown
V5_2022,V1,V5,188,2022,1,unknown
S1_2022,Soil,S1,8s,2022,1,NA
S2_2022,Soil,S2,68s,2022,1,NA
S3_2022,Soil,S3,113s,2022,1,NA
S4_2022,Soil,S4,218s,2022,1,NA
G36B_2023,G210,G36B,26,2022,2,resistant
G37B_2023,G210,G37B,47,2022,2,resistant
G38B_2023,G210,G38B,95,2022,2,resistant
G39B_2023,G210,G39B,137,2022,2,resistant
G40B_2023,G210,G40B,200,2022,2,resistant
L1B_2023,M7,L1B,44,2022,2,susceptible
